City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,40,AR,17-06-2020,69,-54.8,-68.3,39.2,0.89
Balakovo,0,RU,17-06-2020,78,52.03,47.8,68.11,4.97
Carnarvon,40,AU,17-06-2020,100,-24.87,113.63,68.0,5.82
Butaritari,20,KI,17-06-2020,77,3.07,172.79,82.47,14.52
Pathein,100,MM,17-06-2020,89,16.78,94.73,77.36,4.16
Christchurch,100,NZ,17-06-2020,100,-43.53,172.63,46.99,10.29
Vaini,75,TO,17-06-2020,83,-21.2,-175.2,69.8,8.05
Chiang Rai,75,TH,17-06-2020,100,19.91,99.83,75.2,4.7
Punta Arenas,20,CL,17-06-2020,78,-53.15,-70.92,33.8,9.17
Cortez,1,US,17-06-2020,13,37.35,-108.59,79.0,11.41
Kahului,20,US,17-06-2020,61,20.89,-156.47,80.6,12.75
Sayansk,0,RU,17-06-2020,68,54.11,102.16,47.17,5.84
Rikitea,27,PF,17-06-2020,77,-23.12,-134.97,75.61,18.68
Codrington,85,AU,17-06-2020,88,-38.27,141.97,43.9,9.98
Tessalit,0,ML,17-06-2020,7,20.2,1.01,104.27,11.65
Avarua,13,CK,17-06-2020,68,-21.21,-159.78,71.6,9.17
Nikolskoye,20,RU,17-06-2020,64,59.7,30.79,75.2,6.71
Ichnya,97,UA,17-06-2020,92,50.86,32.39,68.0,8.57
Chui,100,UY,17-06-2020,72,-33.7,-53.46,70.65,10.22
Mataura,18,NZ,17-06-2020,83,-46.19,168.86,39.0,3.0
Alofi,74,NU,17-06-2020,68,-19.06,-169.92,71.6,12.75
George Town,40,MY,17-06-2020,88,5.41,100.34,82.4,5.82
Il’inskiy,75,RU,17-06-2020,73,55.62,38.12,80.01,5.21
Qaanaaq,38,GL,17-06-2020,90,77.48,-69.36,33.53,3.09
Tongzi,100,CN,17-06-2020,86,28.78,105.09,70.74,2.35
Kerman,0,IR,17-06-2020,10,30.28,57.08,86.0,6.93
Port Elizabeth,0,ZA,17-06-2020,87,-33.92,25.57,57.2,6.93
Bambous Virieux,75,MU,17-06-2020,88,-20.34,57.76,71.6,18.34
Adré,5,TD,17-06-2020,46,13.47,22.2,79.66,6.96
Natal,20,BR,17-06-2020,66,-5.79,-35.21,84.2,19.46
Visakhapatnam,40,IN,17-06-2020,89,17.69,83.21,84.2,10.29
Thompson,90,CA,17-06-2020,93,55.74,-97.86,42.8,19.46
Pouembout,50,NC,17-06-2020,80,-21.13,164.9,66.92,5.46
Airai,27,TL,17-06-2020,100,-8.93,125.41,55.53,4.79
Lata,0,PT,17-06-2020,70,40.16,-8.33,64.99,8.28
Half Moon Bay,5,US,17-06-2020,27,37.46,-122.43,80.01,6.93
Saskylakh,21,RU,17-06-2020,57,71.92,114.08,55.36,12.53
Castro,0,BR,17-06-2020,68,-24.79,-50.01,67.42,8.32
Santiago,90,CL,17-06-2020,87,-33.46,-70.65,51.8,7.18
Goundam,50,ML,17-06-2020,7,16.41,-3.67,105.87,2.73
Tiksi,100,RU,17-06-2020,91,71.69,128.87,48.92,5.95
Comodoro Rivadavia,100,AR,17-06-2020,76,-45.87,-67.5,50.0,4.7
Albany,0,US,17-06-2020,29,42.6,-73.97,86.0,2.71
Sambava,0,MG,17-06-2020,76,-14.27,50.17,68.77,16.69
Tuktoyaktuk,90,CA,17-06-2020,87,69.45,-133.04,48.2,5.82
Dunedin,97,NZ,17-06-2020,86,-45.87,170.5,44.01,15.99
Posse,15,BR,17-06-2020,50,-14.09,-46.37,75.6,12.24
